Date,Open,High,Low,Close,Volume
06/21/2022,"371.89","376.53","371.81","375.07","76,811,859"
06/17/2022,"365.51","369.38","362.17","365.86","111,113,906"
06/16/2022,"370.51","370.94","364.08","366.65","134,473,297"
06/15/2022,"377.36","383.90","372.12","379.20","125,666,797"
06/14/2022,"376.85","377.94","370.59","373.87","104,011,797"
06/13/2022,"379.85","381.81","373.30","375.00","170,004,891"
06/10/2022,"394.88","395.78","389.75","389.80","132,893,906"
06/09/2022,"409.34","411.74","401.44","401.44","86,289,797"
06/08/2022,"413.93","415.82","410.38","411.22","64,349,969"
06/07/2022,"408.10","416.22","407.61","415.74","59,272,367"
06/06/2022,"414.78","416.61","410.55","411.79","57,508,859"
06/03/2022,"412.40","414.04","409.51","410.54","71,874,281"
06/02/2022,"409.42","417.44","407.04","417.39","79,609,633"
06/01/2022,"415.17","416.24","406.93","409.59","86,585,805"
05/31/2022,"413.55","416.46","410.03","412.93","95,936,977"
05/27/2022,"407.91","415.38","407.70","415.26","84,768,711"
05/26/2022,"398.67","407.04","398.45","405.31","82,168,336"
05/25/2022,"392.31","399.45","391.89","397.37","91,472,875"
05/24/2022,"392.56","395.15","386.96","393.89","91,448,828"
05/23/2022,"392.83","397.73","390.38","396.92","76,414,883"
05/20/2022,"393.25","397.03","380.54","389.63","131,432,203"
05/19/2022,"388.62","394.14","387.11","389.46","98,510,719"
05/18/2022,"403.50","403.80","390.55","391.86","117,674,492"
05/17/2022,"406.53","408.57","402.58","408.32","83,029,711"
05/16/2022,"399.98","403.97","397.60","400.09","78,622,438"
05/13/2022,"396.71","403.18","395.61","401.72","104,174,398"
05/12/2022,"389.37","395.80","385.15","392.34","125,090,797"
05/11/2022,"398.07","404.04","391.96","392.75","142,360,984"
05/10/2022,"404.49","406.08","394.82","399.09","132,497,203"
05/09/2022,"405.10","406.41","396.50","398.17","155,586,094"
05/06/2022,"411.10","414.80","405.73","411.34","151,770,797"
05/05/2022,"424.55","425.00","409.44","413.81","172,929,109"
05/04/2022,"417.08","429.66","413.71","429.06","144,247,906"
05/03/2022,"415.01","418.93","413.36","416.38","100,028,203"
05/02/2022,"412.07","415.92","405.02","414.48","158,312,500"
04/29/2022,"423.59","425.87","411.21","412.00","145,491,109"
04/28/2022,"422.29","429.64","417.60","427.81","105,449,102"
04/27/2022,"417.24","422.92","415.01","417.27","122,030,000"
04/26/2022,"425.83","426.04","416.07","416.10","103,996,305"
04/25/2022,"423.67","428.69","418.84","428.51","119,647,695"
04/22/2022,"436.91","438.08","425.44","426.04","132,471,797"
04/21/2022,"448.54","450.01","437.10","438.06","85,417,328"
04/20/2022,"446.92","447.57","443.48","444.71","65,224,449"
04/19/2022,"437.86","445.80","437.68","445.04","77,821,008"
04/18/2022,"436.81","439.75","435.61","437.97","66,002,500"
04/14/2022,"443.55","444.73","437.68","437.79","97,869,445"
04/13/2022,"438.03","444.11","437.84","443.31","74,070,391"
04/12/2022,"443.08","445.75","436.65","438.29","84,363,641"
04/11/2022,"444.11","445.00","439.39","439.92","89,770,547"
04/08/2022,"447.97","450.63","445.94","447.57","79,272,711"
04/07/2022,"445.59","450.69","443.53","448.77","78,097,211"
04/06/2022,"446.89","448.93","443.47","446.52","106,898,000"
04/05/2022,"455.22","457.83","449.82","451.03","74,214,492"
04/04/2022,"453.13","456.91","452.26","456.80","59,601,000"
04/01/2022,"453.31","453.46","449.14","452.92","89,048,766"
03/31/2022,"457.89","458.76","451.16","451.64","121,699,906"
03/30/2022,"460.34","461.20","456.47","458.70","79,666,945"
03/29/2022,"460.02","462.07","457.18","461.55","86,581,539"
03/28/2022,"452.06","455.91","450.06","455.91","68,529,766"
03/25/2022,"451.16","452.98","448.43","452.69","77,101,320"
03/24/2022,"445.94","450.50","444.76","450.49","64,736,887"
03/23/2022,"446.91","448.49","443.71","443.80","79,426,094"
03/22/2022,"445.86","450.58","445.86","449.59","74,650,391"
03/21/2022,"444.34","446.46","440.68","444.39","88,349,758"
03/18/2022,"438.00","444.86","437.22","444.52","106,345,508"
03/17/2022,"433.59","441.07","433.19","441.07","102,676,898"
03/16/2022,"429.89","435.68","424.80","435.62","144,954,797"
03/15/2022,"419.77","426.84","418.42","426.17","106,219,102"
03/14/2022,"420.89","424.55","415.79","417.00","95,729,195"
03/11/2022,"428.12","428.77","419.53","420.07","95,636,281"
03/10/2022,"422.52","426.43","420.44","425.48","93,972,656"
03/09/2022,"425.14","429.51","422.82","427.41","116,990,797"
03/08/2022,"419.62","427.21","415.12","416.25","164,772,703"
03/07/2022,"431.55","432.30","419.36","419.43","137,896,609"
03/04/2022,"431.75","433.37","427.88","432.17","114,083,297"
03/03/2022,"440.47","441.11","433.80","435.71","105,501,695"
03/02/2022,"432.37","439.72","431.57","437.89","117,726,492"
03/01/2022,"435.04","437.17","427.11","429.98","137,785,906"
02/28/2022,"432.03","438.20","430.70","436.63","145,615,016"
02/25/2022,"429.61","437.84","427.86","437.75","121,804,492"
02/24/2022,"411.02","428.76","410.64","428.30","213,942,891"
02/23/2022,"432.66","433.26","421.35","421.95","132,578,000"
02/22/2022,"431.89","435.50","425.86","429.57","124,391,797"
02/18/2022,"437.33","438.66","431.82","434.23","132,642,891"
02/17/2022,"443.22","446.57","436.42","437.06","102,259,102"
02/16/2022,"443.93","448.06","441.94","446.60","84,863,594"
02/15/2022,"443.73","446.28","443.18","446.10","88,659,508"
02/14/2022,"439.92","441.60","435.34","439.02","123,006,305"
02/11/2022,"449.41","451.61","438.94","440.46","153,214,594"
02/10/2022,"451.34","457.71","447.20","449.32","140,103,703"
02/09/2022,"455.22","457.88","455.01","457.54","92,589,930"
02/08/2022,"446.73","451.92","445.22","450.94","81,012,039"
02/07/2022,"449.51","450.99","445.85","447.26","84,472,867"
02/04/2022,"446.35","452.78","443.83","448.70","118,454,398"
02/03/2022,"450.95","452.97","445.71","446.60","118,024,398"
02/02/2022,"455.50","458.12","453.05","457.35","117,361,000"
02/01/2022,"450.68","453.63","446.94","452.95","123,155,398"
01/31/2022,"441.24","450.28","439.81","449.91","152,251,391"
01/28/2022,"432.68","442.00","427.82","441.95","164,457,406"
01/27/2022,"438.26","441.59","429.45","431.24","149,878,297"
01/26/2022,"440.72","444.04","428.86","433.38","186,391,109"
01/25/2022,"433.06","439.72","427.15","434.47","167,997,297"
01/24/2022,"432.03","440.38","420.76","439.84","252,496,703"
01/21/2022,"445.56","448.06","437.95","437.98","202,271,203"
01/20/2022,"453.75","458.74","444.50","446.75","122,379,695"
01/19/2022,"458.13","459.61","451.46","451.75","109,357,602"
01/18/2022,"459.74","459.96","455.31","456.49","109,872,398"
01/14/2022,"461.19","465.09","459.90","464.72","95,890,953"
01/13/2022,"472.19","472.88","463.44","464.53","91,173,117"
01/12/2022,"471.59","473.20","468.94","471.02","67,605,438"
01/11/2022,"465.23","469.85","462.05","469.75","74,303,055"
01/10/2022,"462.70","465.74","456.60","465.51","119,362,000"
01/07/2022,"467.95","469.20","464.65","466.09","85,111,594"
01/06/2022,"467.89","470.82","465.43","467.94","86,858,898"
01/05/2022,"477.16","477.98","468.28","468.38","104,538,898"
01/04/2022,"479.22","479.98","475.58","477.55","71,178,680"
01/03/2022,"476.30","477.85","473.85","477.71","72,668,234"
12/31/2021,"475.64","476.86","474.67","474.96","65,237,434"
12/30/2021,"477.93","479.00","475.67","476.16","55,329,039"
12/29/2021,"476.98","478.56","475.92","477.48","54,502,961"
